Issue_key,Summary,keyword
KAFKA-12182,Kafka connector is failing due to ' OffsetStorageWriter is already flushing' error,"['fail', 'fail', 'fail', 'race']"
KAFKA-9562,Streams not making progress under heavy failures with EOS enabled on 2.5 branch,"['network', 'block', 'broker', 'fail', 'fail', 'lock']"
KAFKA-13106,Offsets deletion error,"['network', 'network', 'broker', 'server']"
KAFKA-13837,Return error for Fetch requests from unrecognized followers,"['leader', 'leader', 'leader', 'leader', 'follower', 'follower', 'replica', 'replica', 'replica', 'replica', 'partition']"
KAFKA-9765,Could not add partitions to transaction due to errors,"['client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'partition', 'partition', 'partition']"
KAFKA-13391,Failure on Windows due to AccessDeniedAcception when attempting to fsync the parent directory,"['block', 'fail', 'fail', 'fail', 'lock', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-9131,failed producer metadata updates result in the unrelated error message,"['network', 'cluster', 'block', 'broker', 'broker', 'client', 'client', 'connection', 'fail', 'fail', 'lock', 'message', 'message', 'message', 'meta', 'meta']"
KAFKA-9632,Transient test failure: PartitionLockTest.testAppendReplicaFetchWithUpdateIsr,"['fail', 'fail', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock']"
KAFKA-9200,ListOffsetRequest missing error response for v5,"['server', 'server', 'server', 'server', 'server']"
KAFKA-12777,AutoTopicCreationManager does not handle response errors,"['broker', 'broker', 'broker', 'broker', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-9206,Consumer should handle `CORRUPT_MESSAGE` error code in fetch response,"['broker', 'message']"
KAFKA-13419,sync group failed with rebalanceInProgress error might cause out-of-date ownedPartition in Cooperative protocol,"['leader', 'assign', 'assign', 'assign', 'assign', 'fail', 'fail', 'fail', 'assign', 'assign', 'assign', 'assign']"
KAFKA-8320,Connect Error handling is using the RetriableException from common package,['race']
KAFKA-9089,Reassignment should be resilient to unexpected errors,"['consistent', 'consistent', 'replica', 'replica', 'replica', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'fail', 'fail', 'fail', 'fail', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign']"
KAFKA-8053,kafka-topics.sh gives confusing error message when the topic doesn't exist,"['message', 'message', 'message']"
KAFKA-13674,Failure on ZOS due to IOException when attempting to fsync the parent directory,"['recovery', 'block', 'fail', 'lock', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
KAFKA-8297,Kafka Streams ConsumerRecordFactory yields difficult compiler error about generics,['fail']
KAFKA-8914,Setting GROUP_INSTANCE_ID_CONFIG leads to a protobuf error,"['broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client']"
KAFKA-10312,MetadataCache.getPartitionMetadata may return incorrect error code when partition's leader is not present at the MetadataCache,"['leader', 'leader', 'leader', 'leader', 'leader', 'broker', 'broker', 'meta', 'partition', 'partition', 'partition', 'partition']"
KAFKA-13702,Connect RestClient overrides response status code on request failure,"['fail', 'fail']"
KAFKA-13899,Inconsistent error codes returned from AlterConfig APIs,"['consistent', 'consistent', 'consistent', 'consistent']"
KAFKA-10340,Source connectors should report error when trying to produce records to non-existent topics instead of hanging forever,"['broker', 'broker', 'broker', 'message']"
KAFKA-10798,Failed authentication delay doesn't work with some SASL authentication failures,"['delay', 'delay', 'delay', 'delay', 'delay', 'delay', 'broker', 'broker', 'client', 'client', 'client', 'client', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'server']"
KAFKA-9540,"Application getting ""Could not find the standby task 0_4 while closing it"" error","['message', 'message', 'partition']"
KAFKA-8427,Error while cleanup under windows for EmbeddedKafkaCluster,"['broker', 'client', 'message']"
KAFKA-9654,ReplicaAlterLogDirsThread can't be created again if the previous ReplicaAlterLogDirsThreadmeet encounters leader epoch error,"['leader', 'fail', 'partition', 'partition', 'partition', 'partition']"
KAFKA-12548,Invalid record error message is not getting sent to application,"['message', 'message']"
KAFKA-12672,Running test-kraft-server-start results in error,"['server', 'server', 'server']"
KAFKA-14695,broker will get LEADER_AND_ISR is not enabled error while ZK migrating to KRaft,"['network', 'block', 'block', 'broker', 'broker', 'broker', 'lock', 'lock']"
KAFKA-13933,Stuck SSL/TLS unit tests in case of authentication failure,"['connection', 'fail']"
KAFKA-14644,Process should stop after failure in raft IO thread,"['leader', 'election', 'broker', 'fail', 'meta']"
KAFKA-13099,Message too large error when expiring transactionalIds,['message']
KAFKA-9476,"Worker throws error ""Scanner SubTypeScanner was not configured"" when loading invalid jar",['fail']
KAFKA-10471,TimeIndex handling may cause data loss in certain back to back failure,"['recovery', 'recovery', 'broker', 'fail', 'restart', 'restart']"
KAFKA-9605,EOS Producer could throw illegal state if trying to complete a failed batch after fatal error,"['node', 'node', 'network', 'network', 'network', 'network', 'network', 'broker', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'client', 'fail', 'fail', 'fail', 'fail', 'partition', 'partition']"
KAFKA-12660,Do not update offset commit sensor after append failure,['fail']
KAFKA-12332,Error partitions from topics with invalid IDs in LISR requests,"['broker', 'message', 'partition', 'partition']"
KAFKA-12857,Using Connect Sink with CooperativeStickyAssignor results in commit offsets failure,"['leader', 'leader', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'client', 'fail', 'fail', 'message', 'meta', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign', 'assign']"
KAFKA-13632,"MirrorMaker 2.0 NPE and Warning ""Failure to commit records"" for filtered records","['cluster', 'cluster', 'cluster', 'replica', 'replica', 'replica', 'message', 'message', 'message', 'meta', 'meta', 'server', 'server']"
KAFKA-14010,alterISR request won't retry when receiving retriable error,"['leader', 'follower', 'cluster', 'fail', 'server']"
KAFKA-13423,Error falsely reported on Kafka Streams app when GlobalKTables are used ,"['client', 'client', 'race']"
KAFKA-10687,Produce request should be bumped for new error code PRODUCE_FENCED,"['block', 'lock']"
