Issue_key,Summary,keyword
HDFS-14462,"WebHDFS throws ""Error writing request body to server"" instead of DSQuotaExceededException","['node', 'node', 'cluster', 'server', 'server', 'server', 'server']"
HDFS-15219,DFS Client will stuck when ResponseProcessor.run throw Error,"['block', 'block', 'block']"
HDFS-15316,Deletion failure should not remove directory from snapshottables,['consistent']
HDFS-14065,Failed Storage Locations shows nothing in the Datanode Volume Failures,['node']
HDFS-16896,HDFS Client hedged read has increased failure rate than without hedged read,"['block', 'race']"
HDFS-13524,"Occasional ""All datanodes are bad"" error in TestLargeBlock#testLargeBlockSize","['node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'remote', 'block', 'block', 'block', 'block', 'block']"
HDFS-16806,"ec data balancer block blk_id The index error ,Data cannot be moved","['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'replica', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'block', 'corrupt', 'server', 'server', 'server', 'server', 'server']"
HDFS-15438,Setting dfs.disk.balancer.max.disk.errors = 0 will fail the block copy,"['block', 'block', 'block', 'block']"
HDFS-14962,RBF: ConnectionPool#newConnection() error log wrong protocol class,['connection']
HDFS-13723,"Occasional ""Should be different group"" error in TestRefreshUserMappings#testGroupMappingRefresh","['node', 'node', 'node', 'node', 'block', 'race']"
HDFS-15446,CreateSnapshotOp fails during edit log loading for /.reserved/raw/path with error java.io.FileNotFoundException: Directory does not exist: /.reserved/raw/path ,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'server', 'server', 'server', 'server', 'server', 'restart']"
HDFS-15508,[JDK 11] Fix javadoc errors in hadoop-hdfs-rbf module,['server']
