Issue_key,keyword
CASSANDRA-17411,"['node', 'node', 'node', 'node', 'node', 'node', 'network', 'cluster', 'client', 'fail', 'message', 'partition', 'partition', 'partition', 'partition', 'partition']"
CASSANDRA-14113,"['node', 'cluster', 'partition', 'partition', 'race']"
CASSANDRA-14096,"['node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'node', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'cluster', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'recovery', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'message', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'meta', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'partition', 'race', 'race', 'race', 'race', 'race', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'server']"
CASSANDRA-16097,['message']
CASSANDRA-17706,"['distributed', 'distributed', 'race']"
CASSANDRA-16259,"['node', 'node', 'node', 'node', 'node', 'cluster', 'remote', 'remote', 'remote', 'remote', 'remote', 'remote', 'fail', 'fail', 'race', 'server', 'server', 'server', 'server', 'server', 'server', 'server', 'restart']"
CASSANDRA-14672,"['node', 'node', 'node', 'node', 'node', 'fail', 'fail', 'fail', 'fail', 'fail', 'message', 'partition', 'partition', 'partition', 'race', 'server']"
CASSANDRA-16144,"['node', 'node', 'node', 'node', 'node', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'connection', 'fail', 'fail', 'fail', 'fail', 'message', 'message', 'server', 'server', 'server']"
CASSANDRA-13949,"['election', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'election', 'fail', 'fail', 'message']"
CASSANDRA-16241,"['cluster', 'cluster', 'cluster', 'meta']"
CASSANDRA-17611,"['node', 'node', 'node', 'fail', 'fail', 'fail', 'fail', 'race']"
CASSANDRA-14245,"['message', 'server']"
CASSANDRA-17244,"['distributed', 'distributed', 'distributed', 'fail', 'fail', 'fail', 'fail', 'fail']"
CASSANDRA-16852,"['fail', 'fail']"
CASSANDRA-14574,"['message', 'message', 'race']"
CASSANDRA-16495,"['node', 'node', 'node', 'node', 'delay', 'consistent', 'fail']"
CASSANDRA-13948,"['node', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'lock', 'race']"
CASSANDRA-17922,"['node', 'client', 'fail', 'fail']"
CASSANDRA-14434,"['assign', 'assign', 'fail', 'fail', 'assign', 'assign']"
CASSANDRA-13370,"['fail', 'fail', 'fail', 'fail']"
CASSANDRA-17507,"['node', 'node', 'node', 'node', 'node', 'cluster', 'cluster', 'message']"
CASSANDRA-15938,"['node', 'cluster', 'cluster', 'message']"
CASSANDRA-16836,"['node', 'replica', 'replica', 'fail', 'fail', 'fail', 'fail', 'message', 'server', 'restart', 'restart']"
CASSANDRA-17133,"['fail', 'fail', 'message', 'server']"
CASSANDRA-14071,['cluster']
CASSANDRA-15670,"['replica', 'replica', 'replica', 'message', 'race']"
CASSANDRA-17732,"['fail', 'message']"
CASSANDRA-15766,['node']
CASSANDRA-15508,"['distributed', 'distributed', 'distributed']"
CASSANDRA-14394,"['fail', 'fail', 'fail', 'message', 'message', 'message']"
CASSANDRA-14325,"['consistent', 'fail', 'message']"
CASSANDRA-13813,"['distributed', 'distributed', 'distributed']"
CASSANDRA-17605,"['cluster', 'race']"
CASSANDRA-14061,"['partition', 'partition']"
CASSANDRA-14898,"['node', 'node', 'cluster', 'crash']"
CASSANDRA-14106,['fail']
CASSANDRA-14841,"['node', 'node', 'cluster', 'distributed', 'race', 'race']"
CASSANDRA-16582,"['node', 'node', 'cluster', 'cluster', 'cluster', 'cluster', 'replica', 'replica', 'message']"
CASSANDRA-15050,"['fail', 'fail']"
CASSANDRA-16572,['fail']
CASSANDRA-15667,"['consistent', 'consistent', 'fail', 'race', 'race']"
CASSANDRA-16655,"['fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail', 'fail']"
CASSANDRA-15459,"['node', 'cluster']"
CASSANDRA-15879,"['fail', 'fail']"
